client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
100.70.142.74,14:ca:56:03:b5:45,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.179.17.130,7c:7b:68:53:60:e9,p16-oec-general-sign-va.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.249.102.157,4c:12:e8:d7:e0:49,oec16-normal-alisg.tiktokv.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.2,4c:12:e8:e4:08:29,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.96.167,e4:af:40:9f:0a:ff,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.244.42.180,7c:7b:68:a4:e6:69,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.229.208.158,b8:29:03:04:a1:f9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.247.120.93,d4:9a:a0:a2:12:61,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
222.252.199.251,7c:7b:68:10:41:c1,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
123.26.213.128,b8:29:03:aa:30:b9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.244.42.180,7c:7b:68:a4:e6:69,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.10.99,b8:29:03:f8:85:21,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.179.240.201,a0:65:18:7c:ec:33,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.133.186,4c:12:e8:e4:08:29,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.12,30:4f:75:2b:e2:81,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.235.213.119,30:4f:75:82:48:31,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.171.216.197,44:f4:36:eb:a1:0a,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.235.146.207,4c:12:e8:3f:ba:99,oec16-normal-alisg.tiktokv.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.247.193.232,b8:29:03:72:93:41,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.229.182.184,14:ca:56:06:58:b7,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.183.123.113,f4:1e:57:74:05:22,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.98.218,4c:12:e8:43:27:a9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.20.108,a4:f4:c2:df:56:df,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.164.217,4c:12:e8:e7:91:79,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.89.238,a0:65:18:4d:fe:38,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.244.90.40,d4:9a:a0:40:2f:bc,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.179.151.42,7c:7b:68:0b:42:71,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.133.186,4c:12:e8:e4:08:29,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.5,30:4f:75:2d:19:d9,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.171.216.252,14:ca:56:06:11:d1,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.164.217,4c:12:e8:e7:91:79,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.235.148.224,a0:65:18:7a:dc:db,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.139.255,a4:f4:c2:1e:d4:1e,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
123.25.243.6,a4:f4:c2:df:56:df,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.228.223.174,b8:29:03:39:3d:a9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
222.252.188.105,b8:29:03:59:49:19,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
123.25.243.62,14:49:bc:6a:29:4a,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.235.213.119,30:4f:75:82:48:31,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.228.220.168,b8:29:03:7c:4e:a9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.12,30:4f:75:3a:be:f9,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
123.26.212.234,4c:12:e8:fe:36:39,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.170.98.93,a0:65:18:8d:54:45,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.170.98.11,7c:7b:68:1a:f0:f1,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.168.189.55,b8:29:03:96:8c:f9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.131.54,b8:29:03:7c:a9:81,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.229.182.184,14:ca:56:06:58:b7,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.167.61,24:43:e2:f7:07:41,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.171.216.2,30:4f:75:83:57:71,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.96.20,b8:29:03:d0:37:f1,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
